更新时间: 2026-04-13 00:09:48（北京时间）

更新时间,#genre#
2026-04-13 00:09:48,https://

央视频道,#genre#
广东卫视,http://27.14.208.229:8000/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://183.30.201.165:10002/rtp/239.77.0.84:5146$广东电信
广东卫视,http://183.30.201.165:10002/rtp/239.77.0.27:5146$广东电信
广东卫视,http://183.30.201.165:10002/rtp/239.77.0.65:5146$广东电信
广东卫视,http://183.30.201.165:10002/rtp/239.77.0.66:5146$广东电信
广东卫视,http://221.219.75.32:4000/rtp/239.3.1.142:8048$北京市联通
广西卫视,http://111.193.235.246:8888/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://175.147.82.194:4455/rtp/232.0.0.76:1234$辽宁联通
广西卫视,http://183.30.201.165:10002/rtp/239.77.0.139:5146$广东电信
广西卫视,http://221.219.75.32:4000/rtp/239.3.1.39:8300$北京市联通
东南卫视,http://111.193.235.246:8888/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://27.14.208.229:8000/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://183.30.201.165:10002/rtp/239.77.0.146:5146$广东电信
东南卫视,http://221.219.75.32:4000/rtp/239.3.1.156:8148$北京市联通
海南卫视,http://111.193.235.246:8888/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://175.147.82.194:4455/rtp/232.0.0.26:1234$辽宁联通
海南卫视,http://183.30.201.165:10002/rtp/239.253.43.35:5146$广东电信
海南卫视,http://221.219.75.32:4000/rtp/239.3.1.45:8304$北京市联通
河北卫视,http://111.193.235.246:8888/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://175.147.82.194:4455/rtp/232.0.0.49:1234$辽宁联通
河北卫视,http://27.14.208.229:8000/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://183.30.201.165:10002/rtp/239.77.1.214:5146$广东电信
河北卫视,http://221.219.75.32:4000/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://111.193.235.246:8888/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://175.147.82.194:4455/rtp/232.0.0.80:1234$辽宁联通
河南卫视,http://183.30.201.165:10002/rtp/239.77.0.17:5146$广东电信
河南卫视,http://221.219.75.32:4000/rtp/239.3.1.50:8184$北京市联通
湖北卫视,http://111.193.235.246:8888/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://175.147.82.194:4455/rtp/232.0.0.124:1234$辽宁联通
湖北卫视,http://183.30.201.165:10002/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://221.219.75.32:4000/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://111.193.235.246:8888/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://175.147.82.194:4455/rtp/232.0.0.82:1234$辽宁联通
江西卫视,http://27.14.208.229:8000/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://183.30.201.165:10002/rtp/239.77.1.219:5146$广东电信
江西卫视,http://221.219.75.32:4000/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://111.193.235.246:8888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://175.147.82.194:4455/rtp/232.0.0.185:1234$辽宁联通
四川卫视,http://27.14.208.229:8000/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://183.30.201.165:10002/rtp/239.77.0.159:5146$广东电信
四川卫视,http://183.30.201.165:10002/rtp/239.77.0.60:5146$广东电信
四川卫视,http://221.219.75.32:4000/rtp/239.3.1.29:8288$北京市联通
重庆卫视,http://111.193.235.246:8888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://175.147.82.194:4455/rtp/232.0.0.186:1234$辽宁联通
重庆卫视,http://27.14.208.229:8000/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://183.30.201.165:10002/rtp/239.77.0.182:5146$广东电信
重庆卫视,http://221.219.75.32:4000/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://111.193.235.246:8888/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://175.147.82.194:4455/rtp/232.0.0.181:1234$辽宁联通
贵州卫视,http://27.14.208.229:8000/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://183.30.201.165:10002/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://221.219.75.32:4000/rtp/239.3.1.149:8076$北京市联通
云南卫视,http://111.193.235.246:8888/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://175.147.82.194:4455/rtp/232.0.0.40:1234$辽宁联通
云南卫视,http://183.30.201.165:10002/rtp/239.253.43.100:5146$广东电信
云南卫视,http://221.219.75.32:4000/rtp/239.3.1.26:8108$北京市联通
天津卫视,http://111.193.235.246:8888/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://175.147.82.194:4455/rtp/232.0.0.125:1234$辽宁联通
天津卫视,http://27.14.208.229:8000/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://183.30.201.165:10002/rtp/239.77.0.131:5146$广东电信
天津卫视,http://221.219.75.32:4000/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://111.193.235.246:8888/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://175.147.82.194:4455/rtp/232.0.0.141:1234$辽宁联通
安徽卫视,http://27.14.208.229:8000/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://183.30.201.165:10002/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://221.219.75.32:4000/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://111.193.235.246:8888/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://175.147.82.194:4455/rtp/232.0.0.131:1234$辽宁联通
山东卫视,http://27.14.208.229:8000/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://183.30.201.165:10002/rtp/239.77.0.94:5146$广东电信
山东卫视,http://183.30.201.165:10002/rtp/239.77.0.61:5146$广东电信
山东卫视,http://221.219.75.32:4000/rtp/239.3.1.209:8052$北京市联通
辽宁卫视,http://111.193.235.246:8888/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://27.14.208.229:8000/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://183.30.201.165:10002/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://221.219.75.32:4000/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://111.193.235.246:8888/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://175.147.82.194:4455/rtp/232.0.0.95:1234$辽宁联通
黑龙江卫视,http://27.14.208.229:8000/rtp/225.0.4.201:7980$重庆市联通
黑龙江卫视,http://183.30.201.165:10002/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://221.219.75.32:4000/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://111.193.235.246:8888/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://175.147.82.194:4455/rtp/232.0.0.180:1234$辽宁联通
吉林卫视,http://183.30.201.165:10002/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://221.219.75.32:4000/rtp/239.3.1.240:8172$北京市联通
内蒙古卫视,http://111.193.235.246:8888/rtp/239.3.1.43:8176$北京市联通
内蒙古卫视,http://175.147.82.194:4455/rtp/232.0.0.111:1234$辽宁联通
内蒙古卫视,http://183.30.201.165:10002/rtp/239.77.0.70:5146$广东电信
内蒙古卫视,http://221.219.75.32:4000/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://111.193.235.246:8888/rtp/239.3.1.169:8212$北京市联通
宁夏卫视,http://175.147.82.194:4455/rtp/232.0.0.34:1234$辽宁联通
宁夏卫视,http://183.30.201.165:10002/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://183.30.201.165:10002/rtp/239.77.0.73:5146$广东电信
宁夏卫视,http://221.219.75.32:4000/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://111.193.235.246:8888/rtp/239.3.1.42:8172$北京市联通
山西卫视,http://175.147.82.194:4455/rtp/232.0.0.86:1234$辽宁联通
山西卫视,http://183.30.201.165:10002/rtp/239.77.0.69:5146$广东电信
山西卫视,http://221.219.75.32:4000/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://111.193.235.246:8888/rtp/239.3.1.41:8140$北京市联通
陕西卫视,http://175.147.82.194:4455/rtp/232.0.0.35:1234$辽宁联通
陕西卫视,http://183.30.201.165:10002/rtp/239.77.1.54:5146$广东电信
陕西卫视,http://221.219.75.32:4000/rtp/239.3.1.41:8140$北京市联通
甘肃卫视,http://111.193.235.246:8888/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://175.147.82.194:4455/rtp/232.0.0.50:1234$辽宁联通
甘肃卫视,http://183.30.201.165:10002/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://183.30.201.165:10002/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://221.219.75.32:4000/rtp/239.3.1.201:8180$北京市联通
青海卫视,http://111.193.235.246:8888/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://175.147.82.194:4455/rtp/232.0.0.101:1234$辽宁联通
青海卫视,http://183.30.201.165:10002/rtp/239.253.43.125:5146$广东电信
青海卫视,http://221.219.75.32:4000/rtp/239.3.1.44:8184$北京市联通
新疆卫视,http://111.193.235.246:8888/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://175.147.82.194:4455/rtp/232.0.0.18:1234$辽宁联通
新疆卫视,http://183.30.201.165:10002/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://221.219.75.32:4000/rtp/239.3.1.167:8192$北京市联通
西藏卫视,http://111.193.235.246:8888/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://175.147.82.194:4455/rtp/232.0.0.114:1234$辽宁联通
西藏卫视,http://183.30.201.165:10002/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://183.30.201.165:10002/rtp/239.77.0.74:5146$广东电信
西藏卫视,http://221.219.75.32:4000/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://111.193.235.246:8888/rtp/239.3.1.155:4120$北京市联通
三沙卫视,http://183.30.201.165:10002/rtp/239.253.43.113:5146$广东电信
三沙卫视,http://221.219.75.32:4000/rtp/239.3.1.155:4120$北京市联通
兵团卫视,http://111.193.235.246:8888/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://175.147.82.194:4455/rtp/232.0.0.67:1234$辽宁联通
兵团卫视,http://183.30.201.165:10002/rtp/239.77.0.48:5146$广东电信
兵团卫视,http://183.30.201.165:10002/rtp/239.77.0.77:5146$广东电信
兵团卫视,http://221.219.75.32:4000/rtp/239.3.1.168:8196$北京市联通
延边卫视,http://175.147.82.194:4455/rtp/232.0.0.161:1234$辽宁联通
延边卫视,http://183.30.201.165:10002/rtp/239.77.0.10:5146$广东电信
延边卫视,http://183.30.201.165:10002/rtp/239.77.1.99:5146$广东电信
山东教育卫视,http://111.193.235.246:8888/rtp/239.3.1.52:4120$北京市联通
山东教育卫视,http://175.147.82.194:4455/rtp/232.0.0.169:1234$辽宁联通
山东教育卫视,http://183.30.201.165:10002/rtp/239.77.1.35:5146$广东电信
山东教育卫视,http://183.30.201.165:10002/rtp/239.77.0.83:5146$广东电信
山东教育卫视,http://221.219.75.32:4000/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://111.193.235.246:8888/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://175.147.82.194:4455/rtp/232.0.0.212:1234$辽宁联通
中国教育1台,http://183.30.201.165:10002/rtp/239.77.0.200:5146$广东电信
中国教育1台,http://221.219.75.32:4000/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://111.193.235.246:8888/rtp/239.3.1.54:4120$北京市联通
中国教育2台,http://175.147.82.194:4455/rtp/232.0.0.238:1234$辽宁联通
中国教育2台,http://183.30.201.165:10002/rtp/239.77.0.28:5146$广东电信
中国教育2台,http://183.30.201.165:10002/rtp/239.77.1.69:5146$广东电信
中国教育2台,http://221.219.75.32:4000/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://111.193.235.246:8888/rtp/239.3.1.55:4120$北京市联通
中国教育3台,http://221.219.75.32:4000/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://111.193.235.246:8888/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://175.147.82.194:4455/rtp/232.0.0.239:1234$辽宁联通
中国教育4台,http://183.30.201.165:10002/rtp/239.253.43.114:5146$广东电信
中国教育4台,http://221.219.75.32:4000/rtp/239.3.1.56:4120$北京市联通
早期教育,http://183.30.201.165:10002/rtp/239.77.0.180:5146$广东电信
翡翠台,http://183.30.201.165:10002/rtp/239.77.1.107:5146$广东电信
明珠台,http://183.30.201.165:10002/rtp/239.77.1.189:5146$广东电信

数字频道,#genre#
淘电影,http://111.193.235.246:8888/rtp/239.3.1.250:8001$北京市联通
淘电影,http://221.219.75.32:4000/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://111.193.235.246:8888/rtp/239.3.1.178:8001$北京市联通
淘精彩,http://221.219.75.32:4000/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://111.193.235.246:8888/rtp/239.3.1.95:8001$北京市联通
淘剧场,http://221.219.75.32:4000/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://111.193.235.246:8888/rtp/239.3.1.100:8001$北京市联通
淘娱乐,http://221.219.75.32:4000/rtp/239.3.1.100:8001$北京市联通
求索纪录,http://183.30.201.165:10002/rtp/239.77.0.21:5146$广东电信
金鹰纪实,http://111.193.235.246:8888/rtp/239.3.1.58:8156$北京市联通
金鹰纪实,http://175.147.82.194:4455/rtp/232.0.0.163:1234$辽宁联通
金鹰纪实,http://183.30.201.165:10002/rtp/239.77.0.160:5146$广东电信
金鹰纪实,http://221.219.75.32:4000/rtp/239.3.1.58:8156$北京市联通
纪实科教,http://111.193.235.246:8888/rtp/239.3.1.115:8000$北京市联通
